id,Name,Area,Type,Rating,Out_of_rating,Cuisine,Avg_price,Timmings,Facility,Food_Rating,Service_Rating,Ambience_Rating
10,Mitron - Peninsula Grand Hotel,Sakinaka,Lounge ,4.6,5,"Continental, North Indian, Burger, Finger Food","1,500",12noon - 3am,Full Bar Available  Group MealLive EntertainmentNightlifeLive MusicAbove 18 OnlyLGBTQIA FriendlyDesserts and BakesFree ParkingLive Sports ScreeningValet Parking AvailableOutdoor SeatingIndoor Seating,5,4,0
11,Asian Town,Fort,"Casual Dining, Bar ",4.5,5,"Asian, Chinese, Japanese, Thai, Malaysian, Korean","2,200",12noon - 1:30am,Home Delivery   Full Bar Available  Live Sports ScreeningFree WifiValet Parking AvailableIndoor SeatingTable booking recommendedSmoking Area,5,4,4
12,Belo Pops,"Andheri Lokhandwala, Andheri West","                                                Takeaway, Delivery                                            ",4.5,5,"Ice Cream, Desserts, Beverages, Healthy Food",300,1pm - 3am,Home Delivery   Seating Not Available  No Alcohol AvailableVegan OptionsKeto OptionsGluten Free OptionsDesserts and Bakes,5,,
13,Tanatan,Juhu,"Casual Dining, Bar ",4.6,5,Modern Indian,"1,500",12noon - 1:30am,Home Delivery   Full Bar Available  Live EntertainmentIndoor SeatingWifiBrunchTable reservation requiredKid FriendlySmoking Area,5,0,0
14,Loco Loca,"Andheri Lokhandwala, Andheri West",Casual Dining ,4.5,5,"Mediterranean, Spanish, North Indian","1,700","7:30am - 10:30am, 12noon - 11:30pm",Breakfast   Home Delivery   Serves Non Veg   Wine and Beer  Outdoor SeatingWifiIndoor SeatingBrunch,5,4,4
15,Sit Down Bistro,Borivali West,Casual Dining ,4.6,5,"Chinese, Mexican, Italian, Beverages",600,12noon - 12midnight,Home Delivery   Vegetarian Only  Serves Jain FoodBoard GamesSports TVIndoor SeatingWifiFree ParkingOutdoor Seating,5,4,
16,The Bombay Curry,Khar,Casual Dining ,4.6,5,"North Indian, Biryani, Awadhi, Kebab, Rolls, Mughlai, Lucknowi",750,"11am - 4pm, 6pm - 12midnight",Home Delivery  Outdoor Seating,5,,
17,JLWA,"Linking Road, Bandra West","Bar, Casual Dining ",4.8,5,"Modern Indian, European, Pizza","2,500",1pm - 1am,Full Bar Available  Indoor SeatingTable booking for GroupsBrunchLGBTQIA FriendlyLive EntertainmentValet Parking AvailableTable booking recommendedSmoking AreaNightlife,5,4,0
18,The Studs Sports Bar & Grill,Sakinaka,"Casual Dining, Bar ",4.7,5,"Continental, Italian, Tex-Mex, Asian","1,700","12midnight - 1:30am, 12noon - 12midnight",Home Delivery   Full Bar Available  Serves Jain FoodBrunchFree ParkingLive Sports ScreeningLive MusicTable booking recommendedWifiLive EntertainmentValet Parking AvailableGastro PubIndoor SeatingLGBTQIA Friendly,5,4,0
19,Winkingg Owl,Mira Road,"Lounge, Casual Dining ",4.6,5,"North Indian, Chinese, Continental, Beverages, Mexican","1,600",5pm - 1am,Serves Non Veg   Full Bar Available  Live Sports ScreeningSmoking AreaNightlifeIndoor SeatingTable booking recommendedWifi,5,0,0
20,Earthlings' Cafe,"Andheri Lokhandwala, Andheri West",Café ,4.5,5,"Cafe, Italian, Continental",600,11:30am - 11pm,Vegetarian Only  Outdoor SeatingAll Day BreakfastIndoor SeatingGluten Free OptionsVegan Options,5,,
21,Veranda,"Pali Hill, Bandra West","Casual Dining, Bar ",4.7,5,"Modern Indian, North Indian","2,200","12:30pm - 3:30pm, 8pm - 12midnight",Wheelchair Accessible   Full Bar Available  Free WifiRestricted EntryBrunchLive EntertainmentValet Parking AvailableLive MusicServes CocktailsTable reservation requiredPrivate Dining Area AvailableWifiLive Sports ScreeningIndoor Seating,5,0,0
22,Harry's Bar + Cafe,Powai,"Bar, Casual Dining ",4.6,5,"Chinese, Thai, North Indian, Italian, Burger, Salad","1,800",12noon - 1:30am,Home Delivery   Full Bar Available  KaraokeNightlifeValet Parking AvailableLive MusicTable booking recommendedSmoking AreaLGBTQIA FriendlyLive Sports ScreeningPool TableIndoor Seating,5,4,0
23,The Boston Butt,"Pali Hill, Bandra West","Bar, Casual Dining ",4.8,5,"South American, American, Bar Food","1,700",6pm - 1:30am,Full Bar Available  NightlifeOutdoor SeatingIndoor SeatingKeto OptionsVegan OptionsBrunchServes CocktailsAvailable for FunctionsTable Reservation Not Required,5,4,0
24,TIB - The Ice-cream Bakery,Mulund West,Dessert Parlor ,4.7,5,"Ice Cream, Desserts",350,12:30pm - 1am,Indoor SeatingDesserts and Bakes,5,,
25,Dessertino,Kandivali West,Dessert Parlor ,4.5,5,"Desserts, Ice Cream",500,11am - 12midnight,Home Delivery   Vegetarian Only  Indoor SeatingDesserts and Bakes,5,0,0
26,Plum by Bent Chair,Lower Parel,"Casual Dining, Bar ",4.9,5,Asian,"2,400",12noon - 1am,Full Bar Available  Indoor SeatingTable booking recommended,5,4,0
27,Curry Patta,"Bandra Talao, Bandra West","                                                Takeaway, Delivery                                            ",4.7,5,South Indian,800,12noon - 3am,Home Delivery   Seating Not Available  Drive Thru,5,,
28,Curry Patta,Vashi,"                                                Takeaway, Delivery                                            ",4.6,5,South Indian,800,12noon - 12midnight,Home Delivery   Seating Not Available  Drive Thru,,,
29,Ice Cream Factory,"Carter Road, Bandra West",Dessert Parlor ,4.6,5,"Desserts, Ice Cream, Beverages, Juices",300,11am - 3am,Vegetarian Only  Indoor SeatingDesserts and Bakes,5,0,0
30,Singh Saab,Chembur,Casual Dining ,4.5,5,"North Indian, Asian","1,600","12noon - 3pm, 7pm - 12:30am",Home Delivery   Full Bar Available  Live Sports ScreeningTable booking recommendedValet Parking AvailableOutdoor SeatingIndoor SeatingSmoking Area,5,4,4
31,Viaan,Mahakali,Casual Dining ,4.5,5,"North Indian, Chinese",900,"7am - 10am, 12:30pm - 3:30pm, 7pm - 11:30pm",Breakfast   Home Delivery   Full Bar Available  Valet Parking AvailableIndoor SeatingTable booking recommended,5,4,4
32,Bombay Chowpatty,Khar,Quick Bites ,4.6,5,"Fast Food, Street Food, Desserts, Pizza, Sandwich",250,12noon - 12midnight,Home Delivery   Vegetarian Only  No Alcohol AvailableIndoor SeatingDesserts and Bakes,5,0,
33,Bottle Wottle,Malad West,Lounge ,4.5,5,"North Indian, Chinese, Mexican, Continental","1,700",12:30pm - 1:30am,Home Delivery   Wheelchair Accessible   Vegetarian Only   Full Bar Available  Free ParkingLive Sports ScreeningIndoor SeatingTable booking recommendedDisabled FriendlySmoking AreaLive EntertainmentNightlifeLive MusicFree Wifi,5,4,0
34,Madrasam,"Versova, Andheri West",                                                Delivery                                            ,4.4,5,South Indian,500,"11:30am - 3:30pm, 7pm - 1am",Delivery Only,5,,
35,Nirvaan - The Indian Kitchen,"Andheri Lokhandwala, Andheri West","                                                Takeaway, Delivery                                            ",4.5,5,"North Indian, Rolls",950,"12noon - 3:30pm, 7:30pm - 1am",Home Delivery   Seating Not Available,5,,
36,Something's Fishy,Mahakali,Casual Dining ,4.7,5,"Seafood, North Indian, Chinese","1,700","11:30am - 4pm, 6pm - 12midnight",Home Delivery   Full Bar Available  Valet Parking AvailableIndoor SeatingTable booking recommended,5,4,0
37,Yeda Republic,Juhu,"Bar, Lounge ",4.6,5,"Finger Food, Pizza, Seafood","2,300",7pm - 1:30am,Full Bar Available  Live EntertainmentSports TVLive MusicServes CocktailsAvailable for FunctionsFree ParkingNightlifeValet Parking AvailableGastro PubIndoor SeatingTable booking recommended,5,4,0
38,Do Minute,Vile Parle West,                                                Takeaway                                            ,4.4,5,Fast Food,200,7am - 10pm,Takeaway Only   Seating Not Available,5,,
39,The Duplex Cafe and Bar,Veera Desai Area,Café ,4.5,5,"Cafe, North Indian, Continental, European, Fast Food, Beverages","1,500",12noon - 12midnight,Home Delivery  WifiBoard GamesKaraokeValet Parking AvailableLive MusicTable booking recommendedPet FriendlySmoking AreaVegan OptionsAll Day BreakfastFree ParkingLive Sports ScreeningOutdoor SeatingIndoor SeatingBulk Orders Accepted,5,0,0
40,Lemon Leaf,"Bandra Talao, Bandra West",                                                Delivery                                            ,4.5,5,"Chinese, Thai, Malaysian, Asian","1,200",11am - 3am,Delivery Only,5,0,
41,Santé Spa Cuisine,Bandra Kurla Complex,Casual Dining ,4.6,5,"Salad, Continental, Healthy Food, Mediterranean, Pizza","1,800",11am - 12midnight,Home Delivery   Vegetarian Only   Wine  Valet Parking AvailableIndoor SeatingGluten Free OptionsVegan OptionsTable booking recommended,5,4,4
42,Drifters Tap Station,Bandra Kurla Complex,"Microbrewery, Bar ",4.6,5,"Continental, European, American","2,000",12noon - 1am,Home Delivery   Full Bar Available  BrunchBoard GamesLive Sports ScreeningIndoor SeatingWifiFree ParkingCraft BeerLive MusicTable booking recommended,5,4,0
43,Dum Matka,Powai,Casual Dining ,4.5,5,"North Indian, Biryani",750,11:45am - 12midnight,Home Delivery   Serves Non Veg  No Alcohol AvailableMall ParkingTable Reservation Not RequiredIndoor Seating,5,,
44,Dum Matka,Goregaon East,"                                                Takeaway, Delivery                                            ",4.4,5,"Biryani, Kebab, North Indian",600,"12noon - 4pm, 6pm - 12midnight",Home Delivery,5,,
45,Indiana Water's,Nerul,"Casual Dining, Bar ",4.9,5,"Chinese, North Indian, Seafood, Italian, Continental","1,200",12noon - 1am,Home Delivery   Full Bar Available  Mall ParkingIndoor SeatingOutdoor SeatingTable booking recommendedWifiBuffet,5,0,0
46,Shakey Wakey,"Oshiwara, Andheri West",Quick Bites ,4.6,5,"Beverages, Fast Food",500,9:30am - 1:30am,Breakfast   Home Delivery  Free ParkingOutdoor Seating,5,0,0
47,Trumpet Sky Lounge,"Andheri Lokhandwala, Andheri West",Lounge ,4.6,5,"North Indian, Chinese","2,000","12midnight - 1am, 6pm - 12midnight",Full Bar Available  NightlifeOutdoor SeatingTable booking recommendedLive Sports ScreeningIndoor SeatingLGBTQIA FriendlySmoking Area,5,0,0
48,Healthylicious,Marol,Quick Bites ,4.4,5,"Healthy Food, Wraps, Burger, Coffee, Juices, Sandwich, Continental, Italian",800,9am - 9pm,Home Delivery   Vegetarian Only  Outdoor SeatingServes Jain FoodFree WifiKid FriendlyVegan Options,0,0,
49,Joey's Pizza,Malad West,Quick Bites ,4.5,5,Pizza,800,11am - 12midnight,Home Delivery  Outdoor SeatingIndoor Seating,5,4,0
50,Joey's Pizza,Azad Nagar,Casual Dining ,4.5,5,Pizza,800,11am - 12midnight,Home Delivery  Indoor Seating,5,4,0
51,Tea Villa Cafe,Charni Road,Café ,4.5,5,"Cafe, Fast Food, Desserts, Beverages","1,000",11am - 12midnight,Vegetarian Only  Indoor SeatingKid FriendlyWifiDesserts and BakesFree Wifi,5,0,4
52,The Bohri Kitchen,Juhu,                                                Delivery                                            ,4.4,5,"Mughlai, North Indian, Biryani",600,11am - 11pm,Delivery Only,0,,
53,The Bohri Kitchen,Andheri West,                                                Delivery                                            ,4.6,5,"Mughlai, North Indian, Biryani",600,11am - 11pm,Breakfast   Delivery Only,5,,
54,The Bohri Kitchen,Western Suburbs,                                                Delivery                                            ,4.5,5,"Mughlai, North Indian, Biryani",600,11am - 11pm,Breakfast   Delivery Only,5,,
55,Knotty Yard,Powai,"Bar, Casual Dining ",4.6,5,"North Indian, Italian, Continental","1,500","12noon - 3pm, 6pm - 1am",Full Bar Available  Dance FloorLive EntertainmentNightlifeLive MusicServes CocktailsTable reservation requiredSmoking AreaBrunchFree ParkingLive Sports ScreeningIndoor SeatingAbove 18 OnlyRestricted EntryWifi,5,4,4
56,Sandoitchi,Powai,Café ,4.5,5,"Cafe, Sandwich, Beverages, Salad, Desserts",800,10am - 12:30am,Breakfast   Home Delivery   Vegetarian Only  No Alcohol AvailableServes Jain FoodIndoor SeatingTable booking recommendedWifi,5,4,0
57,Banjara - Goldfinch Hotel,Mahakali,"Casual Dining, Bar ",4.5,5,"North Indian, Continental, Chinese","1,800",12noon - 11:30pm,Serves Alcohol  Valet Parking AvailableIndoor SeatingTable booking recommendedKid FriendlyBuffetGroup Meal,5,4,4
58,Sindhful,Khar,Casual Dining ,4.5,5,"Sindhi, North Indian, Chinese, Rolls",800,"10:45am - 3:30pm, 6:45pm - 3am",Breakfast   Home Delivery  No Alcohol AvailableVegan OptionsOutdoor SeatingTable Reservation Not Required,5,4,
59,The Food Studio - Kitchen & Bar,Malad West,"Casual Dining, Bar ",4.6,5,"Continental, Asian, North Indian, Chinese","1,700",12noon - 12midnight,Home Delivery   Full Bar Available  Live Sports ScreeningValet Parking AvailableIndoor Seating,5,4,0
60,Manuhaar - Sahara Star,Vile Parle East,Casual Dining ,4.5,5,"Gujarati, Rajasthani","3,500","12noon - 3pm, 6pm - 11pm",Vegetarian Only   Full Bar Available  WifiIndoor Seating,5,0,0
61,The Bittersweet Bakery,Matunga East,Bakery ,4.5,5,"Bakery, Belgian, Desserts",300,10am - 8pm,Home Delivery   Seating Not Available   Vegetarian Only  Pre-Ordering RequiredDesserts and Bakes,5,,
62,Lord of the Drinks,Lower Parel,"Lounge, Casual Dining ",4.7,5,"Finger Food, Continental, European, Chinese, North Indian, Italian","2,100",12noon - 1am,Full Bar Available  Live Sports ScreeningValet Parking AvailableLive MusicServes CocktailsSmoking AreaDance FloorNightlifeIndoor SeatingTable booking recommendedLGBTQIA FriendlyPrivate Dining Area Available,5,4,0
63,Lord Of The Drinks,Veera Desai Area,"Lounge, Casual Dining ",4.7,5,"Finger Food, Continental, European, Chinese, North Indian, Italian","2,100",12noon - 1am,Full Bar Available  NightlifeIndoor SeatingTable booking recommendedValet Parking AvailableOutdoor SeatingAbove 18 OnlyLGBTQIA FriendlySmoking Area,5,0,0
64,Le Paan,"Hiranandani Estate, Thane West",Paan Shop ,4.5,5,Paan,100,12noon - 12midnight,Home Delivery   Seating Not Available   Vegetarian Only  Desserts and Bakes,5,,
65,Hitchki,Bandra Kurla Complex,"Casual Dining, Bar ",4.9,5,"Modern Indian, North Indian, Chinese, Momos, Continental, American, Fast Food","1,600",12noon - 1:30am,Home Delivery   Full Bar Available  NightlifeFree WifiTable Reservation Not RequiredWifiValet Parking AvailableIndoor SeatingRestricted Entry,5,0,0
66,Hitchki,Powai,"Bar, Casual Dining ",4.7,5,"Modern Indian, North Indian, Chinese, Momos, Continental, American, Fast Food","1,600",12noon - 1:30am,Full Bar Available  NightlifeTable Reservation Not RequiredSmoking AreaValet Parking AvailableIndoor SeatingWifi,5,0,0
67,Hitchki,"Majiwada, Thane West","Bar, Casual Dining ",4.6,5,"Modern Indian, North Indian, Chinese, Momos, American, Fast Food","1,600",12noon - 1:30am,Full Bar Available  Mall ParkingNightlifeIndoor SeatingRestricted EntryTable Reservation Not Required,5,4,4
68,Hitchki,Ghatkopar West,"Casual Dining, Bar ",4.8,5,"Modern Indian, North Indian, Chinese, Momos, American, Biryani, Continental, Fast Food","1,600",12noon - 1:30am,Serves Non Veg   Full Bar Available  Mall ParkingIndoor SeatingWifiValet Parking AvailableLive MusicSmoking Area,5,0,4
69,Dum & Curry,Powai,Quick Bites ,4.5,5,"Mughlai, North Indian, Chinese",700,"11:45am - 3:30pm, 6:45pm - 1am",Home Delivery   Serves Non Veg  No Alcohol AvailableFree ParkingDrive ThruKid FriendlyPet FriendlyOutdoor SeatingDrive inSmoking Area,5,4,
70,Dum & Curry,"Oshiwara, Andheri West",Quick Bites ,4.5,5,"Biryani, North Indian, Chinese, Mughlai, Kebab",700,"12noon - 3:30pm, 7pm - 12midnight",Home Delivery   Seating Not Available  No Alcohol Available,5,,
71,Shawarmaji,"Vasant Vihar, Thane West",Quick Bites ,4.6,5,Lebanese,250,1pm - 11pm,Home Delivery  Standing Tables,5,4,
72,Aamzie,Western Suburbs,Bakery ,4.8,5,"Bakery, Desserts",300,12noon - 12midnight,Delivery Only   Seating Not Available  Desserts and Bakes,5,,
73,Fisherman's Cove - Taste on Palate,Chandivali,Casual Dining ,4.5,5,"Mangalorean, Seafood, North Indian, Chinese",800,"11am - 3:30pm, 6:30pm - 11:30pm",Home Delivery  Indoor SeatingFree Wifi,5,0,4
74,Mirchi And Mime,Powai,"Casual Dining, Bar ",4.5,5,"North Indian, Mughlai, South Indian","1,800","12noon - 3:30pm, 6:30pm - 11pm",Wheelchair Accessible   Full Bar Available  Valet Parking AvailableIndoor SeatingTable booking recommended,5,4,4
75,Juss by Sindhful,Khar,Casual Dining ,4.5,5,Sindhi,"1,000","11:30am - 4pm, 7pm - 12midnight",Indoor SeatingVegan Options,5,4,4
76,Soul Curry,Powai,"Casual Dining, Bar ",4.5,5,"North Indian, Chinese, Italian","1,800",12noon - 12midnight,Home Delivery   Serves Non Veg   Full Bar Available  Live Sports ScreeningIndoor SeatingTable booking recommendedLive EntertainmentValet Parking AvailableOutdoor SeatingBrunch,5,0,4
77,ChillPapi,Sakinaka,                                                Delivery                                            ,4.5,5,"Burger, Wraps, Fast Food",400,"11:30am - 4:30pm, 7:30pm - 5am",Delivery Only,5,4,
78,The Delhi Spice,"Versova, Andheri West",                                                Delivery                                            ,4.6,5,"North Indian, Chinese, Biryani, Sandwich, Fast Food, Beverages",500,9:30am - 12midnight,Delivery Only   Seating Not Available,5,,
79,The Delhi Spice,Goregaon East,                                                Delivery                                            ,4.5,5,"North Indian, Chinese, Biryani, Sandwich, Fast Food, Beverages",500,9:30am - 12midnight,Breakfast   Delivery Only   Vegetarian Only,5,,
80,Mabruk - Sahara Star,Vile Parle East,Fine Dining ,4.6,5,"Lebanese, Mediterranean","4,200",7pm - 1am,Wheelchair Accessible  Valet Parking AvailableTable booking recommendedIndoor Seating4/5 StarLuxury DiningWifi,5,0,
81,Gateway Taproom,Bandra Kurla Complex,"Microbrewery, Casual Dining ",4.7,5,"American, Seafood, Continental","2,300",12noon - 1:30am,Wheelchair Accessible   Full Bar Available  NightlifeCraft BeerRestricted EntryLGBTQIA FriendlySmoking AreaWifiValet Parking AvailableIndoor SeatingTable booking recommendedDisabled Friendly,5,0,0
82,Tight,Vashi,Pub ,4.5,5,Finger Food,"1,000",1pm - 1am,Wheelchair Accessible   Full Bar Available  Mall ParkingKaraokeNightlifeOutdoor SeatingIndoor SeatingLGBTQIA FriendlySmoking AreaLive Sports ScreeningLive Music,5,0,0
83,Persia Darbar,Malad West,Casual Dining ,4.5,5,"North Indian, Mughlai, Chinese","1,000",12noon - 1:30am,No Alcohol AvailableFree WifiTable Reservation Not RequiredFree ParkingIndoor SeatingGroup MealValet Parking Available,5,4,0
84,Persia Darbar,Jogeshwari,Casual Dining ,4.5,5,"Mughlai, North Indian, Chinese","1,000",12noon - 3am,Home Delivery  No Alcohol AvailableFree ParkingIndoor SeatingGroup MealValet Parking AvailableTable Reservation Not Required,5,4,4
85,Play - The Lounge,Marol,"Lounge, Bar ",4.5,5,"Continental, Asian, North Indian","2,300",12noon - 12midnight,Home Delivery   Serves Non Veg   Full Bar Available  Indoor SeatingTable booking recommendedLGBTQIA FriendlyNightlifeLive Music,5,4,
86,Surbhi Malvani Kitchen & Bar,Airoli,"Casual Dining, Bar ",4.5,5,"Malwani, North Indian, Chinese",600,11am - 12midnight,Home Delivery  Indoor Seating,0,0,
87,Glocal Kitchen,Kandivali East,Casual Dining ,4.5,5,"Continental, North Indian, Thai, Chinese","1,000","11am - 4pm, 7pm - 11pm",Indoor Seating,5,0,
88,Chholay,"Oshiwara, Andheri West",Quick Bites ,4.6,5,North Indian,500,7:30am - 2am,Breakfast   Home Delivery   Vegetarian Only  Indoor SeatingTable Reservation Not Required,5,0,4
89,Uncafe,Sion,Café ,4.5,5,"Cafe, Mexican, Lebanese, Italian","1,000",11am - 11pm,Home Delivery   Vegetarian Only  Free WifiAvailable for FunctionsVegan OptionsBoard GamesTable booking recommendedWifiServes Jain FoodIndoor Seating,5,4,4
90,Toast - Bistro & Bar,Marol,"Casual Dining, Bar ",4.5,5,"Continental, Italian, North Indian","2,000",7:30am - 1:30am,Breakfast   Full Bar Available  Live Sports ScreeningIndoor SeatingSmoking AreaNightlifeOutdoor SeatingRooftopWifi,5,4,0
91,Candy and Green,Breach Candy,"Casual Dining, Bar ",4.6,5,"Asian, Italian, Continental, Desserts, Healthy Food","2,000",12noon - 1am,Home Delivery   Wheelchair Accessible   Vegetarian Only   Full Bar Available  Live Sports ScreeningKeto OptionsSmoking AreaWifiGluten Free OptionsServes Jain FoodLunch MenuValet Parking AvailableIndoor SeatingTable booking recommendedKid FriendlyDisabled FriendlyPet FriendlyVegan OptionsBrunchGroup Meal,5,4,4
92,The Cheaters,Marol,"Casual Dining, Bar ",4.6,5,"American, Mexican, Continental","1,800",12noon - 12midnight,Full Bar Available  Indoor SeatingAvailable for FunctionsResto BarLGBTQIA FriendlySmoking AreaOutdoor SeatingTable booking recommendedDisabled Friendly,5,0,0
93,Global Fusion,Worli,Fine Dining ,4.5,5,"Chinese, Japanese, Asian, North Indian","2,500","12noon - 3:30pm, 7pm - 12:30am",Home Delivery   Full Bar Available  Mall ParkingCity ViewTable booking recommendedBrunchValet Parking AvailableIndoor SeatingAvailable for FunctionsPrivate Dining Area AvailableBuffetGroup Meal,5,4,4
94,MH-09 Shetkari,"Panch Pakhadi, Thane West",Casual Dining ,4.6,5,Maharashtrian,450,"12:05pm - 3:30pm, 7:30pm - 10:30pm",Indoor Seating,5,0,0
95,Masala Mastee,Borivali West,Casual Dining ,4.7,5,"Continental, Italian, North Indian, Beverages","1,500",12noon - 11:30pm,Vegetarian Only  Indoor Seating,5,0,0
96,Smiley Pops,"Andheri Lokhandwala, Andheri West","Dessert Parlor, Quick Bites ",4.5,5,"Desserts, Ice Cream, Beverages",700,9am - 1am,Home Delivery   Vegetarian Only  Outdoor SeatingFree WifiDesserts and BakesIndoor SeatingKid Friendly,5,0,0
97,Tunga Bar & Restaurant,Mahakali,Casual Dining ,4.6,5,"North Indian, Continental, Malwani",800,"12noon - 3pm, 7pm - 12midnight",Full Bar Available  Outdoor SeatingSmoking AreaIndoor Seating,5,0,
98,Yauatcha,Bandra Kurla Complex,Fine Dining ,4.6,5,"Asian, Cantonese, Chinese, Tea","2,800",12noon - 1am,Wheelchair Accessible   Serves Non Veg   Full Bar Available  Valet Parking AvailableIndoor SeatingTable reservation requiredSmoking Area,5,4,4
99,Spice Lounge,Ghodbunder Road,Casual Dining ,4.5,5,"Continental, North Indian, Fast Food",800,11am - 11am,Breakfast   Wheelchair Accessible  Free ParkingIndoor SeatingKid FriendlySmoking AreaBuffetValet Parking AvailableTable booking recommendedDisabled FriendlyPrivate Dining Area AvailableServes Jain FoodAll Day BreakfastBrunch,5,4,4
100,Colaba Social,Colaba,"Bar, Casual Dining ",4.9,5,"American, North Indian, Chinese, Fast Food, Continental, Asian, Beverages","1,400",9am - 1am,Breakfast   Home Delivery   Full Bar Available  Dance FloorNightlifeIndoor SeatingWifiLive Sports ScreeningValet Parking AvailableLive MusicServes CocktailsTable booking recommendedLGBTQIA FriendlySmoking Area,5,4,0
101,Palladium Social,Lower Parel,"Bar, Casual Dining ",4.9,5,"American, North Indian, Chinese, Fast Food, Continental, Asian, Beverages","1,400",10am - 1am,Home Delivery   Full Bar Available  Mall ParkingLive EntertainmentNightlifeIndoor SeatingTable booking recommendedWifiLive Sports ScreeningValet Parking AvailableLive MusicServes CocktailsLGBTQIA FriendlySmoking Area,5,0,0
102,BKC  DIVE,Bandra Kurla Complex,"Bar, Casual Dining ",4.6,5,"North Indian, Chinese, Burger, Sandwich, Continental","1,100",11:30am - 1am,Home Delivery   Full Bar Available  Dance FloorKaraokeLive Sports ScreeningIndoor SeatingBuffetFree ParkingLive EntertainmentNightlifeLive MusicAbove 18 OnlyLGBTQIA FriendlySmoking AreaBrunch,5,4,0
103,Coppetto Artisan Gelato,"Linking Road, Bandra West",Dessert Parlor ,4.5,5,"Ice Cream, Desserts, Beverages",350,"12midnight - 12:30am, 12:30pm - 12midnight",Home Delivery   Vegetarian Only  No Alcohol AvailableDesserts and BakesIndoor SeatingWifi,5,0,0
104,Barrel Mansion,Vile Parle East,"Bar, Casual Dining ",4.4,5,Asian,"3,500","12midnight - 1:30am, 7pm - 12midnight",Full Bar Available  Live EntertainmentValet Parking AvailableLive MusicDance FloorNightlifeIndoor SeatingSmoking Area,0,0,0
105,Whatta Waffle!,Vile Parle West,Dessert Parlor ,4.5,5,"Beverages, Desserts, Fast Food, Cafe",300,12noon - 1am,Home Delivery  Indoor SeatingPet FriendlyDesserts and Bakes,5,4,
